pair,group_col,group,n,mean_y_asym,pct_src_harder,mean_abs_shap__num__diff_sessions,mean_abs_shap__cat__semantic_field_pert,mean_abs_shap__cat__semantic_field_feeling,mean_abs_shap__cat__semantic_field_time,mean_abs_shap__cat__semantic_field_attribute,mean_abs_shap__num__src_session_count,mean_abs_shap__cat__semantic_field_event,mean_abs_shap__num__tgt_session_count,mean_abs_shap__cat__semantic_field_location,mean_abs_shap__cat__semantic_field_artifact,mean_abs_shap__cat__semantic_field_act,mean_abs_shap__cat__semantic_field_animal,mean_abs_shap__num__concreteness,mean_abs_shap__cat__semantic_field_person,mean_abs_shap__num__frequency
EN<->ES,semantic_field,all,41,-0.8640871251459977,0.21951219512195122,1.048410415649414,0.4970824122428894,0.5001147985458374,0.3865512013435364,0.4801729619503021,0.21331961452960968,0.3038129210472107,0.2439330667257309,0.19226489961147308,0.1684401035308838,0.2538664937019348,0.2255827933549881,0.21882064640522003,0.09083241969347,0.14513662457466125
EN<->ES,semantic_field,artifact,30,-1.684461926976988,0.23333333333333334,0.6419728994369507,0.6318696737289429,0.4890916049480438,0.4663447439670563,0.38814106583595276,0.3017212748527527,0.27029454708099365,0.27906566858291626,0.19383616745471954,0.14544646441936493,0.2431650459766388,0.1660345494747162,0.1410829722881317,0.1370566189289093,0.17274154722690582
EN<->ES,semantic_field,act,26,-1.144341499473676,0.19230769230769232,0.7961539626121521,0.4261513948440552,0.42493173480033875,0.37487807869911194,0.32958126068115234,0.4987509548664093,0.2617087662220001,0.20809151232242584,0.2239084243774414,0.2745971083641052,0.17404058575630188,0.19739635288715363,0.13766370713710785,0.17276054620742798,0.15885180234909058
EN<->ES,semantic_field,communication,23,-0.5927046231377233,0.2608695652173913,0.6603797674179077,0.4603032171726227,0.40989938378334045,0.39436855912208557,0.39431580901145935,0.4156973958015442,0.2640268802642822,0.342329204082489,0.24253356456756592,0.22409571707248688,0.13422100245952606,0.16576926410198212,0.16177423298358917,0.20700746774673462,0.1390063315629959
EN<->ES,semantic_field,cognition,17,0.18132061494081442,0.4117647058823529,0.7189723253250122,0.4898239076137543,0.42891982197761536,0.48846015334129333,0.17488566040992737,0.5885261297225952,0.27011391520500183,0.19998499751091003,0.24373550713062286,0.2822219729423523,0.18989348411560059,0.17570412158966064,0.14881151914596558,0.12385915219783783,0.1221698448061943
EN<->ES,semantic_field,person,15,-3.0418645594699956,0.2,0.7916443943977356,0.536211371421814,0.4732850193977356,0.3905366361141205,0.42090994119644165,0.38632145524024963,0.26094087958335876,0.23091360926628113,0.23543067276477814,0.19441133737564087,0.18102958798408508,0.1937476098537445,0.21679021418094635,0.1831706315279007,0.14051249623298645
EN<->ES,semantic_field,attribute,13,-1.792948940998669,0.38461538461538464,0.7969946265220642,0.405981183052063,0.44589880108833313,0.32144370675086975,0.5608915090560913,0.2099132537841797,0.33394113183021545,0.1700601875782013,0.25712692737579346,0.2730550467967987,0.10753484070301056,0.19260525703430176,0.18898779153823853,0.15451042354106903,0.17651134729385376
EN<->ES,semantic_field,location,11,1.0803065868377237,0.6363636363636364,0.5592020153999329,0.6307986974716187,0.4579782485961914,0.4295492470264435,0.2589825391769409,0.2792966067790985,0.2765524387359619,0.2882232964038849,0.24022015929222107,0.22382710874080658,0.2765944302082062,0.2180653065443039,0.1350686103105545,0.18422530591487885,0.16911019384860992
EN<->ES,semantic_field,group,10,-1.0036313202745402,0.2,0.5933184027671814,0.5482625961303711,0.45264512300491333,0.41005200147628784,0.2224740982055664,0.21835407614707947,0.2701248526573181,0.27024132013320923,0.21193313598632812,0.23922395706176758,0.21564003825187683,0.21127577126026154,0.1776503622531891,0.180432990193367,0.11793575435876846
EN<->ES,semantic_field,time,10,-1.5253784013242548,0.1,0.5996423959732056,0.5383087992668152,0.4887367784976959,0.5568575263023376,0.233295276761055,0.23657801747322083,0.33752503991127014,0.23350688815116882,0.23164713382720947,0.19284915924072266,0.07704837620258331,0.18904776871204376,0.16412778198719025,0.19486232101917267,0.10194548219442368
EN<->ES,semantic_field,possession,9,-0.058133017087329736,0.5555555555555556,0.6848039627075195,0.6265733242034912,0.46899160742759705,0.42416274547576904,0.45866572856903076,0.18753480911254883,0.3255566656589508,0.23203283548355103,0.21233664453029633,0.15230123698711395,0.19679027795791626,0.20065517723560333,0.17070825397968292,0.17571435868740082,0.1943940669298172
EN<->ES,semantic_field,substance,7,-1.4614793854397343,0.2857142857142857,0.7620037198066711,0.48482948541641235,0.5093055367469788,0.4156608581542969,0.4228959083557129,0.22200454771518707,0.25604143738746643,0.44719308614730835,0.24057014286518097,0.13903741538524628,0.2366156280040741,0.1913602352142334,0.1865881234407425,0.13673312962055206,0.19307029247283936
EN<->ES,semantic_field,state,7,-0.3045693712750427,0.5714285714285714,0.8153458833694458,0.38996976613998413,0.4808966815471649,0.469330757856369,0.22937270998954773,0.3067045211791992,0.3360879123210907,0.2650080621242523,0.26061925292015076,0.2040470838546753,0.14877581596374512,0.17245697975158691,0.1367926001548767,0.11157272756099701,0.10008393973112106
EN<->ES,semantic_field,Tops,5,-0.9017320555383236,0.2,0.47333383560180664,0.5386655926704407,0.4380437731742859,0.3941190838813782,0.2805570065975189,0.5578479170799255,0.29600614309310913,0.2918804883956909,0.2390018254518509,0.17013071477413177,0.13699455559253693,0.17647883296012878,0.1202029436826706,0.20960083603858948,0.19093561172485352
EN<->ES,semantic_field,body,5,-3.0531989492253633,0.0,0.4961092472076416,0.5514975786209106,0.35568946599960327,0.5205094814300537,0.11919476836919785,0.17491158843040466,0.15355105698108673,0.1544167697429657,0.19860656559467316,0.39276260137557983,0.29640090465545654,0.1936366707086563,0.2164251059293747,0.197618767619133,0.12450817972421646
EN<->ES,semantic_field,object,4,-0.4168156660757858,0.0,0.3728554844856262,0.6908809542655945,0.4678862690925598,0.4934627413749695,0.2064017355442047,0.1286439746618271,0.32369446754455566,0.2229234278202057,0.18003550171852112,0.18686312437057495,0.3947121798992157,0.2328673154115677,0.10979469865560532,0.12914621829986572,0.12651589512825012
EN<->ES,semantic_field,quantity,4,-1.7229837606933132,0.0,0.800658643245697,0.612618625164032,0.4557260274887085,0.5464365482330322,0.3102424442768097,0.6600327491760254,0.2676934599876404,0.19372601807117462,0.2215779721736908,0.3135058283805847,0.2935616672039032,0.21295924484729767,0.13336262106895447,0.11300826072692871,0.02967146784067154
EN<->ES,semantic_field,pert,3,-1.030914006498523,0.3333333333333333,1.0726773738861084,0.503215491771698,0.5097569823265076,0.3063221871852875,0.7198769450187683,0.18046490848064423,0.27668020129203796,0.07767415791749954,0.2017444521188736,0.11276739835739136,0.1554512232542038,0.20915794372558594,0.13092376291751862,0.21291804313659668,0.10067059844732285
EN<->ES,semantic_field,stative,3,0.22726517465915266,0.3333333333333333,1.1462939977645874,0.34433865547180176,0.4678835868835449,0.36719194054603577,0.7243604063987732,0.18671579658985138,0.33627745509147644,0.157178595662117,0.29089656472206116,0.14008311927318573,0.0975089967250824,0.1664978414773941,0.18180321156978607,0.22739994525909424,0.11310634762048721
EN<->ES,semantic_field,change,3,-1.1910241315479257,0.3333333333333333,0.7265844345092773,0.5414851307868958,0.49628105759620667,0.6836423873901367,0.18491990864276886,0.10180289298295975,0.3408268392086029,0.23288516700267792,0.2702294588088989,0.2505650520324707,0.06678340584039688,0.1501859873533249,0.061653982847929,0.20702636241912842,0.1459406167268753
EN<->ES,semantic_field,motion,3,1.009159632715661,0.3333333333333333,0.8773518204689026,0.5863180756568909,0.4863147735595703,0.32606077194213867,0.35449591279029846,0.48044252395629883,0.290376752614975,0.1141483262181282,0.17819713056087494,0.14057567715644836,0.2078745812177658,0.24218493700027466,0.24742615222930908,0.13291646540164948,0.1633918136358261
EN<->ES,semantic_field,social,2,0.05698858351615943,0.5,0.5555626749992371,0.4728153944015503,0.4475741684436798,0.41892746090888977,0.43757492303848267,0.08729343116283417,0.40569615364074707,0.18503309786319733,0.30422577261924744,0.09787029027938843,0.09834962338209152,0.17241540551185608,0.09430354088544846,0.21358057856559753,0.10235840082168579
EN<->ES,semantic_field,animal,2,-1.7667343822839765,0.0,0.8645882606506348,0.5680360794067383,0.4962623119354248,0.5296719074249268,0.35768964886665344,0.4343050718307495,0.2447664439678192,0.25072014331817627,0.26357609033584595,0.26474541425704956,0.08602805435657501,0.19769152998924255,0.15158164501190186,0.09938596934080124,0.16435295343399048
EN<->ES,semantic_field,contact,2,-0.7572500672902143,0.0,0.34668365120887756,0.6101093292236328,0.4160550832748413,0.3987414240837097,0.19299434125423431,0.12742769718170166,0.3040236532688141,0.3701460063457489,0.2458127737045288,0.11611048877239227,0.15045014023780823,0.2171984314918518,0.03373490646481514,0.19803769886493683,0.09732858836650848
EN<->ES,semantic_field,food,2,-1.1332462523754288,0.5,1.0713454484939575,0.4942789077758789,0.5398910045623779,0.3016679883003235,0.8761298656463623,0.5704412460327148,0.2582140266895294,0.26931077241897583,0.16409121453762054,0.11301663517951965,0.00937982089817524,0.18111249804496765,0.4486169219017029,0.01736508682370186,0.24552097916603088
EN<->ES,semantic_field,feeling,2,3.75047921679315,1.0,0.7418874502182007,0.6005823612213135,0.4910523295402527,0.6296902894973755,0.24663197994232178,0.712633490562439,0.5067362785339355,0.4749568700790405,0.23115739226341248,0.14179465174674988,0.15247318148612976,0.15593886375427246,0.07108433544635773,0.11966409534215927,0.04654384404420853
EN<->ES,semantic_field,phenomenon,1,-0.38880073004510507,0.0,0.8838905096054077,0.4792608618736267,0.46034541726112366,0.24146397411823273,0.5431245565414429,0.4767943322658539,0.2705756723880768,0.2113000750541687,0.23023565113544464,0.008150696754455566,0.1625206619501114,0.19605648517608643,0.1908269226551056,0.10013622790575027,0.43492192029953003
EN<->ES,semantic_field,plant,1,2.481294827131771,1.0,1.2517834901809692,0.4385702908039093,0.4759276509284973,0.4045499861240387,1.3180122375488281,0.03284136578440666,0.14386744797229767,0.18947383761405945,0.26781022548675537,0.41527682542800903,0.3472553491592407,0.17963077127933502,0.6561933755874634,0.2895658016204834,0.3508132994174957
EN<->ES,semantic_field,perception,1,0.9085738930925764,1.0,0.49319782853126526,0.7485504746437073,0.5028309226036072,0.45296522974967957,0.15431714057922363,0.01261322945356369,0.2802383601665497,0.30602988600730896,0.17889989912509918,0.12166982889175415,0.27466881275177,0.2223263382911682,0.11619407683610916,0.1573418229818344,0.0028377328999340534
EN<->ES,semantic_field,event,1,-4.232255483623829,0.0,0.2593023180961609,0.2632567584514618,0.4864136576652527,0.28150591254234314,0.4000352621078491,0.04932238161563873,0.4026122987270355,0.021145744249224663,0.3005432188510895,0.12449049949645996,0.06869781762361526,0.12544028460979462,0.18777276575565338,0.11496305465698242,0.036134179681539536
EN<->ES,semantic_field,creation,1,0.19748681530327516,1.0,0.5392307043075562,0.5434526205062866,0.4512571096420288,0.6119205951690674,0.00374316843226552,0.0398901030421257,0.34027937054634094,0.23783177137374878,0.24874086678028107,0.10954272001981735,0.03262685611844063,0.18592432141304016,0.12845416367053986,0.2678811550140381,0.1695157140493393
EN<->ES,semantic_field,consumption,1,-5.995693819309812,0.0,1.1510664224624634,0.4100148379802704,0.5344640612602234,0.18770568072795868,0.3197350800037384,0.38447195291519165,0.27263301610946655,0.23408979177474976,0.19399473071098328,0.006605678703635931,0.14799749851226807,0.23222605884075165,0.34278279542922974,0.0249122753739357,0.22609981894493103
